40000
Clean Stain_Level_1 Stain_Level_2 Stain_Level_3
007879.jpg -1 -1 -1 1
006078.jpg 1 -1 -1 -1
002580.jpg -1 1 -1 -1
007411.jpg -1 -1 1 -1
006474.jpg -1 -1 -1 1
007897.jpg 1 -1 -1 -1
002719.jpg -1 1 -1 -1
001622.jpg -1 -1 1 -1
005701.jpg -1 -1 -1 1
004140.jpg 1 -1 -1 -1
006091.jpg -1 1 -1 -1
003810.jpg -1 -1 1 -1
001329.jpg -1 -1 -1 1
008942.jpg 1 -1 -1 -1
007069.jpg -1 1 -1 -1
009284.jpg -1 -1 1 -1
004259.jpg -1 -1 -1 1
002441.jpg 1 -1 -1 -1
007247.jpg -1 1 -1 -1
001628.jpg -1 -1 1 -1
001915.jpg -1 -1 -1 1
001042.jpg 1 -1 -1 -1
003240.jpg -1 1 -1 -1
000551.jpg -1 -1 1 -1
009758.jpg -1 -1 -1 1
000077.jpg 1 -1 -1 -1
000938.jpg -1 1 -1 -1
009727.jpg -1 -1 1 -1
003254.jpg -1 -1 -1 1
008101.jpg 1 -1 -1 -1
002705.jpg -1 1 -1 -1
002007.jpg -1 -1 1 -1
008526.jpg -1 -1 -1 1
007421.jpg 1 -1 -1 -1
000164.jpg -1 1 -1 -1
008195.jpg -1 -1 1 -1
003290.jpg -1 -1 -1 1
001769.jpg 1 -1 -1 -1
009190.jpg -1 1 -1 -1
006844.jpg -1 -1 1 -1
003803.jpg -1 -1 -1 1
005746.jpg 1 -1 -1 -1
008513.jpg -1 1 -1 -1
001415.jpg -1 -1 1 -1
005246.jpg -1 -1 -1 1
000724.jpg 1 -1 -1 -1
003594.jpg -1 1 -1 -1
006553.jpg -1 -1 1 -1
007200.jpg -1 -1 -1 1
008543.jpg 1 -1 -1 -1
002309.jpg -1 1 -1 -1
009867.jpg -1 -1 1 -1
002360.jpg -1 -1 -1 1
003939.jpg 1 -1 -1 -1
001850.jpg -1 1 -1 -1
009289.jpg -1 -1 1 -1
001104.jpg -1 -1 -1 1
004879.jpg 1 -1 -1 -1
004533.jpg -1 1 -1 -1
003868.jpg -1 -1 1 -1
002258.jpg -1 -1 -1 1
003432.jpg 1 -1 -1 -1
008926.jpg -1 1 -1 -1
000781.jpg -1 -1 1 -1
006931.jpg -1 -1 -1 1
009977.jpg 1 -1 -1 -1
009344.jpg -1 1 -1 -1
004709.jpg -1 -1 1 -1
007500.jpg -1 -1 -1 1
005634.jpg 1 -1 -1 -1
002456.jpg -1 1 -1 -1
003735.jpg -1 -1 1 -1
006500.jpg -1 -1 -1 1
007875.jpg 1 -1 -1 -1
008602.jpg -1 1 -1 -1
008617.jpg -1 -1 1 -1
007791.jpg -1 -1 -1 1
002837.jpg 1 -1 -1 -1
009084.jpg -1 1 -1 -1
006962.jpg -1 -1 1 -1
004414.jpg -1 -1 -1 1
006771.jpg 1 -1 -1 -1
000714.jpg -1 1 -1 -1
005209.jpg -1 -1 1 -1
003296.jpg -1 -1 -1 1
008150.jpg 1 -1 -1 -1
008620.jpg -1 1 -1 -1
006242.jpg -1 -1 1 -1
006833.jpg -1 -1 -1 1
000503.jpg 1 -1 -1 -1
007278.jpg -1 1 -1 -1
008477.jpg -1 -1 1 -1
005572.jpg -1 -1 -1 1
003619.jpg 1 -1 -1 -1
007162.jpg -1 1 -1 -1
005392.jpg -1 -1 1 -1
002511.jpg -1 -1 -1 1
001798.jpg 1 -1 -1 -1
009333.jpg -1 1 -1 -1
006108.jpg -1 -1 1 -1
009467.jpg -1 -1 -1 1
003474.jpg 1 -1 -1 -1
000353.jpg -1 1 -1 -1
003624.jpg -1 -1 1 -1
004007.jpg -1 -1 -1 1
008094.jpg 1 -1 -1 -1
001485.jpg -1 1 -1 -1
008633.jpg -1 -1 1 -1
005440.jpg -1 -1 -1 1
004991.jpg 1 -1 -1 -1
009782.jpg -1 1 -1 -1
001317.jpg -1 -1 1 -1
001548.jpg -1 -1 -1 1
003243.jpg 1 -1 -1 -1
008209.jpg -1 1 -1 -1
005463.jpg -1 -1 1 -1
006862.jpg -1 -1 -1 1
008829.jpg 1 -1 -1 -1
007555.jpg -1 1 -1 -1
003440.jpg -1 -1 1 -1
005423.jpg -1 -1 -1 1
007637.jpg 1 -1 -1 -1
008178.jpg -1 1 -1 -1
004871.jpg -1 -1 1 -1
003582.jpg -1 -1 -1 1
003865.jpg 1 -1 -1 -1
003807.jpg -1 1 -1 -1
003222.jpg -1 -1 1 -1
002668.jpg -1 -1 -1 1
001035.jpg 1 -1 -1 -1
001393.jpg -1 1 -1 -1
002744.jpg -1 -1 1 -1
002231.jpg -1 -1 -1 1
000989.jpg 1 -1 -1 -1
003299.jpg -1 1 -1 -1
006601.jpg -1 -1 1 -1
009680.jpg -1 -1 -1 1
000143.jpg 1 -1 -1 -1
005062.jpg -1 1 -1 -1
008348.jpg -1 -1 1 -1
005051.jpg -1 -1 -1 1
004690.jpg 1 -1 -1 -1
003105.jpg -1 1 -1 -1
003816.jpg -1 -1 1 -1
007262.jpg -1 -1 -1 1
002189.jpg 1 -1 -1 -1
008372.jpg -1 1 -1 -1
006291.jpg -1 -1 1 -1
008682.jpg -1 -1 -1 1
007289.jpg 1 -1 -1 -1
001536.jpg -1 1 -1 -1
004854.jpg -1 -1 1 -1
007019.jpg -1 -1 -1 1
008066.jpg 1 -1 -1 -1
002769.jpg -1 1 -1 -1
002840.jpg -1 -1 1 -1
007191.jpg -1 -1 -1 1
001341.jpg 1 -1 -1 -1
002788.jpg -1 1 -1 -1
007235.jpg -1 -1 1 -1
002842.jpg -1 -1 -1 1
005929.jpg 1 -1 -1 -1
007728.jpg -1 1 -1 -1
003055.jpg -1 -1 1 -1
002598.jpg -1 -1 -1 1
006939.jpg 1 -1 -1 -1
009394.jpg -1 1 -1 -1
000385.jpg -1 -1 1 -1
002750.jpg -1 -1 -1 1
006131.jpg 1 -1 -1 -1
002521.jpg -1 1 -1 -1
009631.jpg -1 -1 1 -1
008517.jpg -1 -1 -1 1
004811.jpg 1 -1 -1 -1
008674.jpg -1 1 -1 -1
003959.jpg -1 -1 1 -1
005614.jpg -1 -1 -1 1
009885.jpg 1 -1 -1 -1
001860.jpg -1 1 -1 -1
002979.jpg -1 -1 1 -1
001402.jpg -1 -1 -1 1
008326.jpg 1 -1 -1 -1
002549.jpg -1 1 -1 -1
000635.jpg -1 -1 1 -1
005906.jpg -1 -1 -1 1
005857.jpg 1 -1 -1 -1
004008.jpg -1 1 -1 -1
007463.jpg -1 -1 1 -1
006430.jpg -1 -1 -1 1
002893.jpg 1 -1 -1 -1
006516.jpg -1 1 -1 -1
005802.jpg -1 -1 1 -1
005945.jpg -1 -1 -1 1
000255.jpg 1 -1 -1 -1
006028.jpg -1 1 -1 -1
001090.jpg -1 -1 1 -1
008919.jpg -1 -1 -1 1
005198.jpg 1 -1 -1 -1
009124.jpg -1 1 -1 -1
006915.jpg -1 -1 1 -1
008154.jpg -1 -1 -1 1
000687.jpg 1 -1 -1 -1
005862.jpg -1 1 -1 -1
000853.jpg -1 -1 1 -1
002523.jpg -1 -1 -1 1
003137.jpg 1 -1 -1 -1
000008.jpg -1 1 -1 -1
008327.jpg -1 -1 1 -1
001918.jpg -1 -1 -1 1
009684.jpg 1 -1 -1 -1
008458.jpg -1 1 -1 -1
001177.jpg -1 -1 1 -1
007968.jpg -1 -1 -1 1
009750.jpg 1 -1 -1 -1
005125.jpg -1 1 -1 -1
007148.jpg -1 -1 1 -1
008587.jpg -1 -1 -1 1
001698.jpg 1 -1 -1 -1
006897.jpg -1 1 -1 -1
003128.jpg -1 -1 1 -1
005687.jpg -1 -1 -1 1
002397.jpg 1 -1 -1 -1
008196.jpg -1 1 -1 -1
002659.jpg -1 -1 1 -1
006714.jpg -1 -1 -1 1
003913.jpg 1 -1 -1 -1
001872.jpg -1 1 -1 -1
007349.jpg -1 -1 1 -1
007122.jpg -1 -1 -1 1
008609.jpg 1 -1 -1 -1
004200.jpg -1 1 -1 -1
000999.jpg -1 -1 1 -1
005598.jpg -1 -1 -1 1
003597.jpg 1 -1 -1 -1
004660.jpg -1 1 -1 -1
005651.jpg -1 -1 1 -1
002922.jpg -1 -1 -1 1
004601.jpg 1 -1 -1 -1
006079.jpg -1 1 -1 -1
007525.jpg -1 -1 1 -1
000076.jpg -1 -1 -1 1
008273.jpg 1 -1 -1 -1
003224.jpg -1 1 -1 -1
002749.jpg -1 -1 1 -1
006595.jpg -1 -1 -1 1
003241.jpg 1 -1 -1 -1
009126.jpg -1 1 -1 -1
005653.jpg -1 -1 1 -1
